iso3,recurso,q_1950_twh,q_2019_twh,reservas_twh,urr_proxy_twh,x_1950_proxy,x_2019_proxy,r_linealizacion,urr_linealizacion_twh,r2_linealizacion,r_condicional_urr_proxy,anio_pico_produccion,prod_pico_twh
IND,oil,358.587,17567.922,7393.27478252,24961.196782519997,0.014365777535599327,0.7038092825862655,0.09121154602876164,21678.52175598009,0.8046052753757383,0.08162964404790585,2011,498.743
IRN,oil,3684.91,126958.898,250323.1896,377282.0876,0.009766989001361748,0.3365092120000239,0.07418983708351871,140190.35500033808,0.3803159444352052,0.034188110709749774,1974,3526.184
IRQ,oil,742.095,73234.596,230048.28030800002,303282.876308,0.002446874050503144,0.24147290111303993,0.05350500329626858,112192.83229081449,0.13320794663604865,0.039714949668261286,2019,2723.98
ITA,oil,5.047,2545.061,875.35386092,3420.41486092,0.0014755520032568481,0.7440796229365717,0.07400124393394403,3513.811645471844,0.7762253986943648,0.07479372714117857,2005,71.067
JPN,oil,155.65800000000002,670.88,,,,,0.029288381942329824,1230.4047060515109,0.29896938283911,,1992,10.952
KAZ,oil,342.38417378190206,25386.155903502146,47589.96,72976.11590350214,0.004691729198559209,0.3478693760170902,,,,0.06374051777269003,2019,1053.16
KWT,oil,453.198,82182.573,161012.698,243195.271,0.0018635148542834946,0.3379283349633883,0.06369741842869814,92942.87131482133,0.3455079891079194,0.03259032922561283,1972,1946.271
LBY,oil,0.0,46874.771,76719.774516,123594.54551600001,0.0,0.37926245696604627,0.0941908168092627,47038.55380050564,0.6001769380067461,0.034976108822874004,1970,1855.507
MEX,oil,4224.343,82067.81,9622.499552160001,91690.30955216,0.04607185885436336,0.8950543454465486,0.09375780628741624,93327.27680241174,0.89489658841756,0.08803889935996727,2004,2210.197
MMR,oil,173.784,865.448,,,,,0.032666506877219524,1575.8642324383532,0.16927884153878722,,1984,20.682
MYS,oil,111.95100000000001,14488.54,4333.5417576,18822.0817576,0.005947854304415414,0.7697628873676421,0.10645916343247762,16862.68199090352,0.9178725323933861,0.10091992899463348,2004,422.251
NGA,oil,0.0,56747.825,58519.78748,115267.61248,0.0,0.4923137018201559,0.07195082894325847,73467.45288320364,0.6268507554353955,0.052945206063003916,2010,1419.103
NLD,oil,24.399,1973.644,,,,,0.06137861168592262,2517.74901739338,0.5098397453784725,,1986,66.438
NOR,oil,0.0,46959.171,13520.29177268,60479.46277268,0.0,0.7764482164218656,0.15668254563091957,49341.57316049183,0.9702120022246276,0.12890376992438193,2001,1893.862
NZL,oil,0.12,907.111,,,,,0.11887146665655259,1015.131651834712,0.6967255425668896,,1997,36.566
OMN,oil,0.0,19669.538,8523.361836,28192.899836,0.0,0.697677007843075,0.09110089268609073,24696.2976564664,0.9002204888752331,0.08724283107665204,2016,573.547
PAK,oil,4.837,1603.786,,,,,0.09517283890592049,2110.1265754009696,0.6829730884908859,,2014,60.016
PER,oil,619.413,4991.484,1274.11013576,6265.59413576,0.09885941964622112,0.7966497497039914,0.0515063849611407,6555.847011993408,0.5374395484815608,0.047651055959862465,1980,119.148
PNG,oil,0.0,1001.835,,,,,0.22878488177790707,936.0083687900302,0.7237410610637773,,1993,75.64
POL,oil,411.771,779.198,,,,,0.04259831813304647,724.1313030023525,0.3526424990494666,,1909,24.26
QAT,oil,20.19,24634.137,40045.365008,64679.502007999996,0.0003121545369582896,0.38086466709272254,,,,0.0590123149420637,2012,952.574
ROU,oil,1989.801,9352.186,951.7992,10303.9852,0.19310984646988819,0.9076280505527125,0.05748561584648498,10131.31611481697,0.8901841839050336,0.04697193979672082,1976,175.497
RUS,oil,8181.654506268191,303822.67064900993,171013.31564768,474835.98629668995,0.01723048535153795,0.6398476093157218,0.07805386041537628,336453.8281865828,0.724316065902907,0.057698916635048676,2019,6668.512
SAU,oil,1123.192,264392.115,472057.50389600004,736449.6188960001,0.0015251443835136466,0.35900910016946713,0.06386350274911204,370490.65510551794,0.3837545297797864,0.04348230884188001,2016,6823.463
SDN,oil,0.0,2774.941,2379.498,5154.439,0.0,0.5383594606512948,0.32369803575497885,2884.834588873598,0.9395575792823637,0.2183655497485224,2007,276.761
SSD,oil,0.0,592.358,5552.162,6144.52,0.0,0.0964042756797927,,,,,2019,98.256
SYR,oil,0.0,8683.413,3965.8300000000004,12649.243,0.0,0.6864768903562055,0.14032402712502381,9407.258688938042,0.9371609847296026,0.09820380644844016,2002,380.766
TCD,oil,0.0,1216.388,2379.498,3595.886,0.0,0.33827212542333096,0.27958755659727264,1292.9456261445891,0.7386838900902785,0.1132547719129018,2005,105.925
THA,oil,0.0,3823.577,400.94541300000003,4224.522413000001,0.0,0.9050909490345742,0.13967160721340066,5893.762469975368,0.9793268470068507,0.16757231334559494,2016,210.827
TKM,oil,96.88067161163718,4856.092126170123,951.7992,5807.891326170124,0.016680868523675157,0.8361196608980558,0.0525473435281383,10219.269126805922,0.27498398048566774,0.08219781194370243,2015,153.865
TLS,oil,0.0,688.795,,,,,0.38984887036007,684.9332516571592,0.87143324563284,,2006,57.629
TTO,oil,691.73,6213.623,385.44694936,6599.06994936,0.10482234698346944,0.94159071621943,0.06763859733460434,6663.338951818418,0.915113223040255,0.0704360594026633,1978,132.475
TUN,oil,0.0,2516.0099999999998,674.1911,3190.2010999999998,0.0,0.78866815010502,0.10755357080297831,2563.668255197741,0.8999226073349874,0.07209664862937314,1980,65.442
TUR,oil,0.385,1925.477,,,,,0.07697456461566529,2173.9671260965642,0.7872477578243366,,1991,56.305
UKR,oil,102.97419375074249,3276.8799052098598,,,,,0.09458657776181696,3386.3784063923003,0.9536965859341944,,1988,83.47170490414754
