year,finanzas__us_ltrate,finanzas__us_strate,finanzas__us_policy_rate,finanzas__us_infl,finanzas__us_real_ltrate,finanzas__us_real_strate,finanzas__us_reer,finanzas__us_debt_gdp,finanzas__share_bank_onset,finanzas__share_bank_onset_gdpw,finanzas__share_currency_onset,finanzas__share_currency_onset_gdpw,finanzas__share_sovdebt_onset,finanzas__share_sovdebt_onset_gdpw,finanzas__share_bank_active_lv,finanzas__share_bank_active_lv_gdpw,finanzas__world_debt_gdp_gdpw,finanzas__world_debt_gdp_median,finanzas__world_r_minus_g_median,finanzas__world_r_minus_g_eff_median,finanzas__n_countries_debt,finanzas__usd_index_major,finanzas__usd_index_broad,recursos__petroleo_precio_nominal_usd_bbl,recursos__deflactor_eeuu_2019,recursos__petroleo_precio_real_usd2019_bbl,recursos__jacks_beef,recursos__jacks_hides,recursos__jacks_lamb,recursos__jacks_pork,recursos__jacks_coal,recursos__jacks_natural_gas,recursos__jacks_petroleum,recursos__jacks_barley,recursos__jacks_corn,recursos__jacks_rice,recursos__jacks_rye,recursos__jacks_wheat,recursos__jacks_aluminum,recursos__jacks_chromium,recursos__jacks_copper,recursos__jacks_lead,recursos__jacks_manganese,recursos__jacks_nickel,recursos__jacks_steel,recursos__jacks_tin,recursos__jacks_zinc,recursos__jacks_bauxite,recursos__jacks_iron_ore,recursos__jacks_phosphate,recursos__jacks_potash,recursos__jacks_sulfur,recursos__jacks_gold,recursos__jacks_platinum,recursos__jacks_silver,recursos__jacks_cocoa,recursos__jacks_coffee,recursos__jacks_cotton,recursos__jacks_cottonseed,recursos__jacks_palm_oil,recursos__jacks_peanuts,recursos__jacks_rubber,recursos__jacks_saw_logs,recursos__jacks_soybeans,recursos__jacks_sugar,recursos__jacks_tea,recursos__jacks_tobacco,recursos__jacks_wool,recursos__jacks_indice_vp1975,recursos__jacks_indice_vp2019,recursos__jacks_indice_igual,recursos__jacks_sub_cultivados,recursos__jacks_sub_subsuelo,recursos__jacks_sub_subsuelo_sin_energia,recursos__gycpi_nominal,recursos__gycpi_metales_nominal,recursos__muv_g5,recursos__gycpi_real,recursos__gycpi_metales_real,recursos__cmo_petroleo_real2010,recursos__cmo_carbon_aus_real2010,recursos__cmo_gas_eeuu_real2010,recursos__cmo_gas_europa_real2010,recursos__cmo_cobre_real2010,recursos__cmo_hierro_real2010,recursos__cmo_aluminio_real2010,recursos__cmo_oro_real2010,recursos__cmo_estano_real2010,recursos__cmo_niquel_real2010,recursos__cmo_zinc_real2010,recursos__usgs_prod_mundial_aluminio_t,recursos__usgs_prod_mundial_bauxita_t,recursos__usgs_prod_mundial_cobre_t,recursos__usgs_prod_mundial_oro_t,recursos__usgs_prod_mundial_hierro_t,recursos__usgs_prod_mundial_plomo_t,recursos__usgs_prod_mundial_niquel_t,recursos__usgs_prod_mundial_fosfato_t,recursos__usgs_prod_mundial_plata_t,recursos__usgs_prod_mundial_estano_t,recursos__usgs_prod_mundial_zinc_t,recursos__mundo_oil_prod_twh,recursos__mundo_oil_cum_twh,recursos__mundo_gas_prod_twh,recursos__mundo_gas_cum_twh,recursos__mundo_coal_prod_twh,recursos__mundo_coal_cum_twh,recursos__mundo_gigantes_n,recursos__mundo_gigantes_eur_mbep,recursos__mundo_gigantes_eur_petroleo_mbep,recursos__mundo_gigantes_eur_cum_mbep,geopolitica__cinc_share_usa,geopolitica__cinc_share_rus,geopolitica__cinc_share_chn,geopolitica__cinc_top1_iso,geopolitica__cinc_top1_share,geopolitica__cinc_top2_share,geopolitica__cinc_lead_ratio,geopolitica__cinc_hhi,geopolitica__cinc_con,geopolitica__chn_usa_cinc_ratio,geopolitica__n_poles_10pct,geopolitica__gdp_share_usa,geopolitica__gdp_share_chn,geopolitica__gdp_share_rus,geopolitica__chn_usa_gdp_ratio,geopolitica__cold_war,geopolitica__bipolar,geopolitica__n_states,geopolitica__share_democracies_row,geopolitica__mean_polyarchy,geopolitica__coups_world,geopolitica__coups_success_world,geopolitica__dem_transitions_world,geopolitica__dem_breakdowns_world,geopolitica__mid_onsets_world,geopolitica__states_in_interstate_conflict,geopolitica__states_sanctioned,geopolitica__n_major_powers,geopolitica__mean_oda_gni,clima__gmst_hadcrut5,clima__gmst_gistemp,clima__gmst_preind,clima__co2_ppm_mlo,clima__co2_ppm_icecore,clima__co2_ppm,clima__co2_mt,clima__co2_pc,clima__co2_per_gdp,clima__co2_incl_luc_mt,clima__co2_luc_mt,clima__co2_coal_mt,clima__co2_oil_mt,clima__co2_gas_mt,clima__co2_cement_mt,clima__co2_flaring_mt,clima__co2_cons_mt,clima__co2_cons_pc,clima__co2_trade_mt,clima__co2_trade_share,clima__co2_cum_mt,clima__co2_cum_incl_luc_mt,clima__co2_cum_luc_mt,clima__co2_share_world,clima__co2_cum_share_world,clima__ch4_mtco2e,clima__n2o_mtco2e,clima__ghg_mtco2e,clima__ghg_excl_lucf_mtco2e,clima__ghg_pc,clima__dT_from_ghg,clima__dT_from_co2,clima__dT_share_world,clima__primary_energy_twh,clima__coal_prod_twh,clima__oil_prod_twh,clima__gas_prod_twh,clima__fossil_cons_twh,clima__fossil_share_energy,clima__fossil_prod_twh,clima__world_dis_n_total,clima__world_dis_n_climate,clima__world_dis_n_flood,clima__world_dis_n_storm,clima__world_dis_n_drought,clima__world_dis_n_extreme_temp,clima__world_dis_n_wildfire,clima__world_dis_n_geo,clima__world_dis_deaths,clima__world_dis_deaths_climate,clima__world_dis_affected,clima__world_dis_damage_kusd,clima__world_dis_damage_climate_kusd,clima__ef_cons_pc_2025ed,clima__biocap_pc_2025ed,clima__overshoot_ratio,clima__lpi,clima__lpi_hi,clima__lpi_lo,clima__material_footprint_t_sum,clima__co2_gtc,clima__co2_cum_incl_luc_gtco2
1963,0.040025,0.0315667,0.0325,0.0125606,0.0271237,0.0187703,139.255,0.588083,0.0,0.0,0.0714286,0.015223,0.0298507,0.00920955,,,0.45212,0.20404,-0.0319088,,51.0,,,1.7999999523162842,0.1198004842514312,15.024980604740584,236.98,39.05,271.92,40.9,112.01,59.0,142.42,65.28,87.26,52.65,57.31,76.05,18.37,55.07,50.24,67.77,86.11,42.05,94.78,103.72,72.67,86.49,104.3,43.95,15.63,53.55,45.13,113.67,52.47,42.14,103.64,82.75,92.95,65.63,96.05,11.7,403.7,32.66,81.63,79.32,178.65,62.96,105.51,110.41,87.63,97.99,112.41,84.89,41.419,34.747,37.453,110.58927188743225,92.77494459722853,7.68632940527,,0.81987513656,2.00536917292,3309.99392307195,56.46890003071,2555.93647606559,179.80886588726,12850.1763070486,8924.68247611774,1083.81514797294,5320000.0,30700000.0,4290000.0,1340.0,510000000.0,2560000.0,339000.0,54600000.0,7780.0,194000.0,3660000.0,15164.043,236993.68500000003,6523.504,83877.306,15383.595,614359.9720000002,18.0,36398.959,22654.393,1020896.194,0.2079701135307053,0.1712830225555705,0.1071045712676632,USA,0.2079701135307053,0.1712830225555705,1.2141898854174653,0.094638335935958,0.2947884021719117,0.5149998211250196,3.0,0.2479125299248406,0.0401280656905774,0.0871888086958868,0.1618638061688251,1.0,1.0,160.0,0.2,0.3032715231788079,15.0,11.0,1.0,0.0,60.0,4.0,31.0,5.0,3.2629127484505784,-0.0314,0.0533,0.325956862745098,318.99,318.99,318.99,10266.777,3.216,,17220.107,6953.332,5107.931,3803.658,1046.95,185.981,90.506,,,,,337825.156,868466.0,535213.875,100.0,100.0,5105.29,1386.239,23411.465,12905.588,7.333,0.555,0.388,100.0,,15383.595,15164.043,6523.504,,,37071.142,44.0,34.0,8.0,21.0,1.0,2.0,0.0,7.0,37431.0,33191.0,6195627.0,18745652.0,8746458.0,2.230061705163476,3.06770751799379,0.7269473025322457,,,,,2.802067958515284,868.466
1964,0.0418667,0.035525,0.04,0.0132209,0.028272,0.0220131,138.834,0.567002,0.0,0.0,0.0142857,5.00147e-14,0.0,0.0,,,0.427907,0.197213,-0.0469549,,54.0,,,1.7999999523162842,0.1214747146214046,14.817898176803885,295.1,35.39,297.34,39.99,112.04,54.58,139.35,67.55,85.89,49.68,54.46,63.92,19.01,58.09,51.78,81.64,89.32,41.5,96.62,138.28,81.09,87.44,105.6,47.15,16.71,53.38,44.55,122.63,52.34,38.08,128.16,82.26,85.21,69.73,94.78,10.86,339.65,32.35,55.53,76.14,195.27,65.45,106.07,111.43,89.43,99.85,111.78,87.0,41.046,37.62,38.202,107.44463640647086,98.47651955395006,7.32756973918,,0.75802445578,1.94129963247,4900.64495158511,51.7478028477,2658.06647945263,177.37772265178,17246.2776305461,8801.50618096429,1649.9244529378,5940000.0,33400000.0,4450000.0,1390.0,573000000.0,2530000.0,371000.0,63700000.0,7730.0,197000.0,4030000.0,16376.738,253370.42300000004,7127.606,91004.912,16064.467,630424.4390000001,24.0,127824.408,102706.511,1148720.6020000002,0.202986096635177,0.1674965500477088,0.1100314716622516,USA,0.202986096635177,0.1674965500477088,1.2118822541560386,0.0921323677651313,0.2908037210270427,0.5420640796892068,3.0,0.2469918387567408,0.0420708581109192,0.0868650091438924,0.1703329888254094,1.0,1.0,158.0,0.2088607594936709,0.3037748344370861,6.0,4.0,1.0,0.0,42.0,6.0,25.0,5.0,4.041875552879584,-0.3021,-0.1983,0.055256862745098,319.62,319.62,319.62,10824.47,3.316,,17484.389,6659.918,5213.215,4104.341,1152.992,206.15,112.792,,,,,348649.656,885950.438,541873.812,100.0,100.0,5205.581,1436.231,23798.047,13516.066,7.29,0.567,0.396,100.0,,16064.467,16376.738,7127.606,,,39568.811,63.0,52.0,22.0,22.0,7.0,0.0,0.0,8.0,12892.0,11936.0,7902125.0,23688636.0,12695796.0,2.213501187222966,3.01338956300493,0.7345552710468934,,,,,2.9542767467248905,885.950438
1965,0.042825,0.0394833,0.0463,0.0157869,0.0266179,0.0233281,135.759,0.537099,0.0135135,0.00118639,0.0285714,0.000478721,0.0447761,0.00423821,,,0.410097,0.179296,-0.0266845,,56.0,,,1.7999999523162842,0.123546614365421,14.569399263279845,304.2,48.27,224.04,53.31,109.91,57.24,135.85,64.3,87.57,48.29,50.3,58.13,19.32,59.87,55.79,94.44,85.64,40.8,95.0,153.73,85.19,77.72,101.52,51.92,14.91,58.58,43.82,133.6,51.46,27.04,124.83,79.33,83.07,78.03,94.85,10.99,386.59,33.64,19.11,80.78,163.24,57.53,104.71,110.56,88.18,99.24,109.72,86.11,38.119,40.499,38.951,97.86398295294087,103.97422402505714,7.10759401475,,0.80085566363,2.05602726119,6471.13483169738,53.36535083613,2703.54774949841,175.78781816773,19474.7241779624,8684.27860253455,1557.91453316362,6310000.0,37400000.0,4660000.0,1440.0,611000000.0,2700000.0,425000.0,71400000.0,8010.0,204000.0,4310000.0,18231.082,271601.50500000006,7638.485,98643.397,16381.558,646805.9970000001,24.0,76868.12,44882.787,1225588.722,0.2015388717977571,0.1645467936838465,0.1088896467043727,USA,0.2015388717977571,0.1645467936838465,1.2248119047824515,0.0902453300478,0.2879385330908459,0.5402910402993761,3.0,0.2475715905306519,0.0433236985040687,0.0879439601240374,0.1749946284676991,1.0,1.0,160.0,0.20625,0.30258940397351,12.0,5.0,0.0,0.0,55.0,5.0,27.0,5.0,4.540794635596843,-0.2023,-0.1067,0.155056862745098,320.04,320.04,320.04,11310.603,3.392,,17696.027,6385.424,5289.088,4409.442,1230.667,216.431,130.443,,,,,359960.25,903646.5,548259.25,100.0,100.0,5343.486,1493.052,24194.01,14119.118,7.256,0.581,0.404,100.0,43360.309,16381.558,18231.082,7638.485,40492.973,93.748,42251.125,68.0,53.0,19.0,19.0,7.0,1.0,1.0,9.0,1565529.0,1563663.0,123102411.0,24443364.0,22431898.0,2.213944604493849,2.95633127775667,0.7488824480366894,,,,,3.086954967248908,903.6465
1966,0.0492333,0.0488167,0.05,0.0298938,0.0187782,0.0183737,135.031,0.506481,0.0,0.0,0.0285714,0.00471629,0.0298507,0.00531251,,,0.394307,0.187513,-0.0284112,,56.0,,,1.7999999523162842,0.1269962925587412,14.17364173433415,342.97,58.06,221.97,53.8,109.5,55.65,133.03,66.54,89.85,57.39,53.06,61.74,18.79,54.18,56.02,86.77,87.28,39.67,91.74,137.62,82.83,76.23,101.38,46.87,13.52,65.21,42.62,132.12,50.04,37.26,112.68,75.3,113.97,65.6,91.41,9.98,395.19,35.16,16.73,68.65,198.32,60.41,107.21,110.97,89.69,107.2,107.22,83.43,37.935,40.568,39.7,95.55415617128465,102.18639798488664,6.56522467523,,0.77237937356,2.05128835116,7393.18318121391,45.95657272664,2607.41680674756,169.58554620661,17250.65079938,8394.79831634788,1357.01424001037,6880000.0,40700000.0,4580000.0,1450.0,626000000.0,2850000.0,412000.0,84500000.0,8300.0,211000.0,4500000.0,19796.811,291398.31600000005,8219.038,106862.435,16608.723,663414.7200000001,25.0,108587.776,16420.061,1334176.498,0.2086692138126796,0.1663162617508976,0.1096541858852451,USA,0.2086692138126796,0.1663162617508976,1.2546531025644183,0.0936403451571891,0.2942098066919757,0.5254928788090446,3.0,0.2481376487193258,0.043509688061217,0.0898358060898355,0.1753449679473341,1.0,1.0,162.0,0.2037037037037037,0.2988940397350993,18.0,11.0,1.0,1.0,58.0,3.0,25.0,5.0,4.558318674915364,-0.1454,-0.0558,0.211956862745098,321.37,321.38,321.37,11862.625,3.485,,17779.766,5917.141,5349.978,4758.873,1339.98,233.008,144.566,,,,,371822.875,921426.188,554176.375,100.0,100.0,5545.599,1556.812,24516.84,14822.013,7.202,0.594,0.412,100.0,45732.449,16608.723,19796.811,8219.038,42654.66,93.635,44624.572,83.0,66.0,23.0,27.0,9.0,2.0,1.0,15.0,17218.0,13141.0,12408584.0,26931059.0,23588182.0,2.3072161604773544,2.91968270946056,0.7902283878317844,,,,,3.237615993449781,921.426188
1967,0.0507333,0.0433167,0.045,0.0278455,0.0222678,0.015052,134.541,0.504419,0.0,0.0,0.171429,0.130675,0.0,0.0,,,0.392688,0.182466,-0.0256916,,55.0,,,1.7999999523162842,0.1306877985569405,13.77328237365653,339.45,38.19,230.6,45.95,108.29,54.09,133.42,65.52,82.05,72.74,52.05,52.22,18.63,57.45,57.55,78.08,83.31,42.98,89.61,125.07,76.83,83.84,99.97,42.05,12.18,80.4,41.21,141.96,58.26,41.84,101.9,79.5,92.78,60.45,89.62,8.03,410.18,31.2,17.18,63.81,158.39,52.88,106.88,109.95,87.42,107.26,106.53,81.77,36.846,41.509,39.7,92.81108312342568,104.55667506297227,6.36446339301,,0.76564973149,2.18519963146,5430.23912454796,42.39785388128,2584.69871971848,167.24661322243,15829.9278313343,9262.92615778713,1307.98495796274,7570000.0,44600000.0,4630000.0,1420.0,616000000.0,2870000.0,449000.0,87300000.0,8030.0,218000.0,4840000.0,21238.463,312636.77900000004,8845.135,115707.57,16018.826,679433.5460000001,24.0,53499.488,46099.132,1387675.986,0.2085478761453187,0.1667412630250682,0.1055840116036114,USA,0.2085478761453187,0.1667412630250682,1.2507274585893309,0.0929884797850987,0.2931848951245088,0.5062818838300668,3.0,0.2469065123810447,0.041762957924746,0.0898381549000336,0.1691448213415056,1.0,1.0,163.0,0.2085889570552147,0.2986710526315789,9.0,5.0,1.0,0.0,58.0,7.0,26.0,5.0,4.240871311561424,-0.1157,-0.0233,0.241656862745098,322.18,322.16,322.18,12237.371,3.523,,18487.898,6250.528,5261.868,5074.54,1433.099,239.881,190.783,,,,,384060.219,939914.125,560426.938,100.0,100.0,5608.186,1613.397,25319.172,15210.583,7.289,0.608,0.42,100.0,47410.555,16018.826,21238.463,8845.135,44248.492,93.691,46102.424,79.0,59.0,26.0,25.0,5.0,0.0,1.0,15.0,10045.0,5953.0,6717701.0,14923694.0,13197329.0,2.436531095223157,2.87180105362619,0.848433108604991,,,,,3.339893831877729,939.914125
1968,0.0564583,0.0534667,0.04,0.0424469,0.0134409,0.010571,137.112,0.484827,0.0,0.0,0.0714286,0.0221564,0.0149254,0.000232742,,,0.380959,0.184289,-0.0287573,,58.0,,,1.7999999523162842,0.1361463909087793,13.221062565825328,339.58,34.41,251.95,45.82,105.28,51.91,129.53,60.28,69.56,67.43,46.69,44.18,18.31,57.64,60.46,70.71,71.88,44.44,89.2,115.91,71.93,78.59,97.35,38.67,11.0,93.76,44.05,144.85,77.41,48.39,98.12,77.2,81.46,43.84,89.79,7.55,400.88,28.92,16.44,54.83,140.91,50.42,103.87,107.56,85.04,103.51,104.2,81.24,37.431,43.914,39.326,95.18130498906577,111.66658190510094,6.37212983185,,0.77237937356,2.18101531886,5995.36558710986,42.33604441309,2669.49800495428,187.90541947317,15094.6261886618,10014.3813152753,1269.07563008351,8020000.0,46000000.0,5010000.0,1440.0,668000000.0,3010000.0,497000.0,94100000.0,8560.0,232000.0,4970000.0,23170.031,335806.81000000006,9675.573,125383.143,16464.762,695898.3080000001,22.0,57515.551,35307.495,1445191.537,0.2026894873343415,0.1703963213462092,0.1055531746668374,USA,0.2026894873343415,0.1703963213462092,1.189517976286116,0.0918343273353243,0.2914691825229417,0.5207629465889603,3.0,0.2446080684447366,0.0399911111828947,0.0906183932992331,0.1634905644657009,1.0,1.0,163.0,0.2147239263803681,0.2993092105263158,8.0,6.0,1.0,0.0,50.0,1.0,31.0,5.0,4.557745217505119,-0.164,-0.0825,0.193356862745098,323.05,323.04,323.05,12905.273,3.64,,19232.404,6327.129,5319.659,5528.198,1559.751,255.273,203.8,,,,,396965.5,959146.562,566754.0,100.0,100.0,5702.289,1665.257,26188.367,15934.297,7.387,0.622,0.428,100.0,50246.746,16464.762,23170.031,9675.573,46887.98,93.675,49310.366,82.0,60.0,20.0,25.0,7.0,2.0,2.0,18.0,22174.0,10336.0,26648067.0,8975821.0,4762536.0,2.466119553288214,2.82846907993349,0.8718919965517895,,,,,3.522181495633188,959.146562
1969,0.0667083,0.0668833,0.05,0.0543713,0.0117009,0.0118669,139.014,0.459137,0.0,0.0,0.0142857,0.359996,0.0298507,0.0234529,,,0.36115,0.213303,-0.038004,,58.0,,,1.7999999523162842,0.1434881075131779,12.544593301232108,363.14,42.39,251.14,57.34,106.71,52.34,127.43,58.12,71.4,58.91,44.75,43.55,18.46,54.7,65.17,75.69,61.89,46.82,90.45,122.14,73.82,77.19,96.35,35.9,9.57,60.69,44.12,145.65,61.34,57.19,94.16,67.11,62.92,44.63,88.08,9.41,369.43,26.44,26.26,50.47,123.5,48.4,104.33,107.92,82.98,105.09,103.63,81.77,39.761,47.712,40.449,98.2990926846152,117.95594452273237,5.81922467875,,0.77895133495,2.07026899098,6723.44971662373,45.0875360936,2696.31653897396,188.246572613,15704.8044292679,10829.2563824802,1312.34207994649,8970000.0,51800000.0,5520000.0,1450.0,701000000.0,3240000.0,487000.0,92100000.0,9200.0,229000.0,5340000.0,24940.334,360747.144,10625.758,136008.90099999998,16797.789,712696.0970000001,28.0,59873.291,19703.378,1505064.828,0.1972355678441416,0.1697162421260226,0.1077925282297216,USA,0.1972355678441416,0.1697162421260226,1.1621490399114809,0.0900690513809797,0.2884018639044534,0.5465166826041278,3.0,0.2384406290960764,0.0404521722729538,0.0912972206083179,0.1696530177189484,1.0,1.0,163.0,0.2147239263803681,0.2945986842105263,10.0,7.0,0.0,0.0,52.0,8.0,32.0,5.0,4.050090238681798,-0.0278,0.0525,0.329556862745098,324.62,324.62,324.62,13761.798,3.802,,20702.344,6940.544,5518.273,5978.462,1708.72,270.599,244.035,,,,,410727.312,979848.875,573694.562,100.0,100.0,5885.07,1704.999,27861.912,16961.33,7.698,0.637,0.437,100.0,53700.402,16797.789,24940.334,10625.758,50125.828,93.7,52363.881,78.0,51.0,14.0,25.0,10.0,0.0,1.0,13.0,11714.0,4814.0,12314395.0,20053876.0,19393304.0,2.4835216122572734,2.77109518374277,0.8962238564836714,,,,,3.755949235807861,979.848875
1970,0.0734833,0.0643667,0.03,0.0588369,0.0138326,0.00522249,139.89,0.463631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.358874,0.191269,-0.0263064,,106.0,,,1.7999999523162842,0.1519613757113142,11.845114877979256,365.68,35.38,250.87,55.51,126.44,49.42,121.98,56.57,75.97,41.72,41.41,46.72,18.39,47.9,74.69,74.91,61.14,54.11,90.86,122.12,73.14,68.13,92.75,33.15,12.94,49.11,36.44,146.72,57.27,40.6,116.27,68.34,81.66,60.5,86.54,7.2,386.84,27.34,28.88,54.79,112.79,38.32,102.45,107.71,83.13,101.92,102.94,81.84,42.201,53.5,42.697,98.83832587769632,125.30154343396492,5.21223561082,33.59953534248,0.73229756516,1.92645094069,6098.31566465937,42.38710612435,2645.62073968159,154.82349992746,15823.8734748484,12260.3842938147,1274.26955725129,9650000.0,57800000.0,5900000.0,1480.0,757000000.0,3390000.0,628000.0,95100000.0,9360.0,232000.0,5460000.0,27433.883,388181.027,9760.88,145769.781,17469.682,730165.7790000001,22.0,38349.864,12825.602,1543414.692,0.1805683808413776,0.1710551469201376,0.1124100287360224,USA,0.1805683808413776,0.1710551469201376,1.0556150112552976,0.0857037674779698,0.2807656669086274,0.6225344006089877,3.0,0.2273031237247259,0.0424481984919113,0.0963786277794277,0.1867470969880643,1.0,1.0,163.0,0.2208588957055214,0.2947105263157894,8.0,5.0,1.0,0.0,23.0,3.0,30.0,5.0,3.935648059523642,-0.084,0.0275,0.273356862745098,325.68,325.68,325.68,14899.139,4.033,0.679,21588.809,6689.67,5698.858,6799.016,1790.936,288.231,277.747,,,,,425626.469,1001437.688,580384.25,100.0,100.0,6036.888,1731.281,28904.395,18140.758,7.823,0.653,0.447,100.0,57177.613,17469.682,27433.883,9760.88,53386.539,93.722,54664.445,80.0,64.0,31.0,24.0,2.0,0.0,1.0,12.0,387089.0,307969.0,47204706.0,24145357.0,19422775.0,2.6878809309184657,2.7262343156238,0.98593173576991,100.0,100.0,100.0,26208959267.4717,4.066358897379913,1001.437688
1971,0.0615917,0.0434,0.03,0.0422656,0.0185424,0.00108839,140.3,0.469911,0.00617284,0.00226684,0.0125,0.00206047,0.0,0.0,0.0,0.0,0.35938,0.197167,-0.0266837,,108.0,,,2.240000009536743,0.1586166184431967,14.122101653168992,361.78,38.04,231.25,44.29,137.2,50.17,123.6,58.4,71.67,35.32,36.06,45.53,17.82,67.46,63.83,63.46,63.24,53.52,98.47,112.47,73.83,65.69,93.2,32.5,12.8,35.52,39.67,130.63,47.93,31.03,96.43,75.88,78.71,58.21,88.15,5.64,372.04,28.16,33.37,53.52,104.79,23.83,101.83,109.87,79.88,96.56,106.67,86.5,42.324,50.293,45.318,93.39335363431748,110.97797784544774,6.9220737642,35.55242619719,0.73726229441,2.05714015249,4429.37629378807,42.31066389597,2572.01864882187,167.12985299016,14384.6700142473,12009.593185805,1266.79411087039,10300000.0,62100000.0,5940000.0,1450.0,767000000.0,3490000.0,637000.0,94000000.0,9170.0,235000.0,5520000.0,29000.791,417181.818,10441.183,156210.96399999998,17310.953,747476.7320000001,27.0,225867.952,16736.999,1769282.644,0.1684449198154532,0.1707450327601836,0.1121691964182415,RUS,0.1707450327601836,0.1684449198154532,1.0136549855421606,0.0811846082072211,0.273083184272582,0.6659102366585657,3.0,0.2248518178443678,0.042967396100991,0.0912352739329184,0.191092055705465,1.0,1.0,165.0,0.2121212121212121,0.2939545454545454,10.0,5.0,0.0,1.0,40.0,3.0,29.0,5.0,4.132978598048535,-0.2041,-0.08,0.153256862745098,326.32,326.32,326.32,15503.862,4.113,,21643.262,6139.398,5700.055,7201.027,1933.588,303.058,321.473,,,,,441130.312,1023080.938,586523.625,100.0,100.0,6056.77,1719.66,28942.801,18752.789,7.677,0.668,0.456,100.0,59438.562,17310.953,29000.791,10441.183,55397.43,93.558,56752.92700000001,62.0,51.0,15.0,22.0,7.0,1.0,0.0,9.0,18087.0,14666.0,11737028.0,12842163.0,6536175.0,2.7026527470231376,2.6872974048105,1.005714046456172,99.1002759,100.9532123,97.3148947,27160773232.686,4.231403384279476,1023.080938
1972,0.0621,0.0406917,0.055,0.0327295,0.0284397,0.00770981,131.151,0.454319,0.0,0.0,0.025,0.0126256,0.0,0.0,0.0,0.0,0.350858,0.203056,-0.0337642,-0.0829645,112.0,,,2.4800000190734863,0.163592045621465,15.15966139828062,385.17,75.34,299.92,62.51,144.91,51.26,121.1,59.89,66.88,39.68,37.31,51.04,15.7,68.42,60.81,66.9,72.97,54.64,86.14,115.46,78.64,67.43,100.15,32.16,12.77,33.58,54.73,130.64,50.56,35.95,104.42,77.56,66.4,46.91,90.35,5.45,342.23,30.39,52.24,47.64,104.45,40.19,104.38,108.66,84.31,105.89,102.99,78.71,46.625,49.613,48.689,95.76084947318697,101.89775924746864,6.83371531437,36.045970889,0.71340984051,2.03571868417,3971.34606875211,38.78696659201,2215.71320959815,218.37537797865,14042.7530426455,11564.3735146899,1418.15237725871,11000000.0,64900000.0,6540000.0,1390.0,757000000.0,3450000.0,611000.0,101000000.0,9380.0,244000.0,5440000.0,30649.971,447831.7890000001,10955.471,167166.43499999997,17251.293,764728.025,18.0,31585.134,6684.110000000001,1800867.7780000002,0.1646049333954513,0.1706923614920662,0.1128619644315873,RUS,0.1706923614920662,0.1646049333954513,1.0369820513337245,0.080396822552735,0.2716265310224182,0.6856535955726477,3.0,0.2227903243418453,0.0420656326016687,0.0917650108511773,0.1888126547952056,1.0,1.0,165.0,0.206060606060606,0.2921948051948052,10.0,5.0,0.0,1.0,34.0,2.0,25.0,5.0,4.816752696520945,-0.0902,0.01,0.267156862745098,327.46,327.45,327.46,16224.579,4.22,,22662.668,6438.088,5691.283,7764.705,2052.349,321.256,346.914,,,,,457354.906,1045743.625,592961.75,100.0,100.0,6183.963,1780.741,30118.918,19536.199,7.833,0.684,0.466,100.0,62703.992,17251.293,30649.971,10955.471,58365.336,93.437,58856.735,63.0,55.0,15.0,26.0,7.0,2.0,0.0,7.0,20058.0,4840.0,219159850.0,31991219.0,23495034.0,2.6116288715706983,2.62411313290579,0.9952424835733864,97.9298836,101.1930825,94.7653954,27882643095.7078,4.428105622270742,1045.743625
